Latitude,Ratings,url,Name,Longtitude
77.59532,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d2216191-Reviews-K_K-Bengaluru_Karnataka.html,K & K,2216191
77.59926,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d6751069-Reviews-Ottimo-Bengaluru_Karnataka.html,Ottimo,6751069
77.60879,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d1568903-Reviews-Karavalli-Bengaluru_Karnataka.html,Karavalli,1568903
,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d1389538-Reviews-Time_Traveller-Bengaluru_Karnataka.html,,
77.60067,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d1942823-Reviews-Edo_Japanese_Restaurant_and_Bar-Bengaluru_Karnataka.html,Edo - Japanese Restaurant and Bar,1942823
77.58494,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d5913154-Reviews-The_Raj_Pavilion-Bengaluru_Karnataka.html,The Raj Pavilion,5913154
77.69912,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d5567563-Reviews-Absolute_Barbecue-Bengaluru_Karnataka.html,Absolute Barbecue,5567563
77.72174,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d3667278-Reviews-Windmills_Craftworks-Bengaluru_Karnataka.html,Windmills Craftworks,3667278
77.554146,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d2234005-Reviews-Bene-Bengaluru_Karnataka.html,Bene,2234005
77.61844,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d2225226-Reviews-Rim_Naam-Bengaluru_Karnataka.html,Rim Naam,2225226
77.5694,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d850324-Reviews-Shri_Sagar_C_T_R-Bengaluru_Karnataka.html,Shri Sagar (C.T.R),850324
77.59586,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d2652641-Reviews-Cubbon_Pavilion-Bengaluru_Karnataka.html,Cubbon Pavilion,2652641
77.621376,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d3972665-Reviews-Barbeque_Nation_Bangalore_India-Bengaluru_Karnataka.html,"Barbeque Nation, Bangalore, India",3972665
77.621826,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d3294471-Reviews-Chianti-Bengaluru_Karnataka.html,Chianti,3294471
77.64844,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d2323087-Reviews-Citrus_at_the_Leela_Palace_Bangalore-Bengaluru_Karnataka.html,Citrus at the Leela Palace Bangalore,2323087
77.61093,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d4009567-Reviews-Arbor_Brewing_Company_India-Bengaluru_Karnataka.html,Arbor Brewing Company India,4009567
77.61463,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d6022202-Reviews-Truffles_Ice_Spice-Bengaluru_Karnataka.html,Truffles Ice & Spice,6022202
77.66607,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d3207659-Reviews-The_Fisherman_s_Wharf-Bengaluru_Karnataka.html,The Fisherman's Wharf,3207659
77.68309,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d7178495-Reviews-Big_Brewsky-Bengaluru_Karnataka.html,Big Brewsky,7178495
77.645485,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d6942844-Reviews-The_Fatty_Bao-Bengaluru_Karnataka.html,The Fatty Bao,6942844
77.60259,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d6681474-Reviews-Church_Street_Social-Bengaluru_Karnataka.html,Church Street Social,6681474
77.61877,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d1379241-Reviews-Le_Jardin-Bengaluru_Karnataka.html,Le Jardin,1379241
77.60927,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d1060248-Reviews-Nagarjuna-Bengaluru_Karnataka.html,Nagarjuna,1060248
77.58543,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d1067832-Reviews-MTR_Mavalli_Tiffin_Rooms-Bengaluru_Karnataka.html,MTR - Mavalli Tiffin Rooms,1067832
77.571465,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d785656-Reviews-Vidyarthi_Bhavan-Bengaluru_Karnataka.html,Vidyarthi Bhavan,785656
77.60151,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d919190-Reviews-Hard_Rock_Cafe_Bengaluru-Bengaluru_Karnataka.html,Hard Rock Cafe Bengaluru,919190
77.64148,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d795234-Reviews-Barbeque_Nation-Bengaluru_Karnataka.html,Barbeque Nation,795234
77.728455,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d6216640-Reviews-Alto_Vino-Bengaluru_Karnataka.html,Alto Vino,6216640
77.640594,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d2057435-Reviews-Toit-Bengaluru_Karnataka.html,Toit,2057435
77.58543,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d1066850-Reviews-The_Royal_Afghan_at_The_Windsor-Bengaluru_Karnataka.html,The Royal Afghan at The Windsor,1066850
77.641365,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d4086719-Reviews-Smoke_House_Deli-Bengaluru_Karnataka.html,Smoke House Deli,4086719
77.61343,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d4243308-Reviews-Fenny_s-Bengaluru_Karnataka.html,Fenny's,4243308
77.59141,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d4055831-Reviews-Ballal_Residency_Resturant-Bengaluru_Karnataka.html,Ballal Residency Resturant,4055831
77.72837,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d4641668-Reviews-MCafe_Bengaluru_Marriot_Hotel_Whitefield_Bangalore-Bengaluru_Karnataka.html,"MCafe, Bengaluru Marriot Hotel, Whitefield, Bangalore",4641668
77.59491,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d4870813-Reviews-JW_Kitchen-Bengaluru_Karnataka.html,JW Kitchen,4870813
77.593414,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d7243749-Reviews-Taaza_Thindi-Bengaluru_Karnataka.html,Taaza Thindi,7243749
77.61795,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d810679-Reviews-Polo_Club_The_Oberoi-Bengaluru_Karnataka.html,Polo Club (The Oberoi),810679
77.569145,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d850372-Reviews-Veena_Store-Bengaluru_Karnataka.html,Veena Store,850372
77.5887,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d785685-Reviews-Blue_Ginger-Bengaluru_Karnataka.html,Blue Ginger,785685
77.5976,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d8041795-Reviews-Sodabottleopenerwala-Bengaluru_Karnataka.html,Sodabottleopenerwala,8041795
77.605286,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d1020018-Reviews-13th_Floor_Lounge_Bar-Bengaluru_Karnataka.html,13th Floor Lounge Bar,1020018
77.588264,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d8762874-Reviews-B_Cafe-Bengaluru_Karnataka.html,b Cafe,8762874
77.59628,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d1791387-Reviews-Toscano-Bengaluru_Karnataka.html,Toscano,1791387
77.5595,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d6376016-Reviews-Kava-Bengaluru_Karnataka.html,Kava,6376016
77.60937,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d1591108-Reviews-Little_Italy-Bengaluru_Karnataka.html,Little Italy,1591108
77.55503,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d2234007-Reviews-Persian_Terrace-Bengaluru_Karnataka.html,Persian Terrace,2234007
77.598335,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d4979425-Reviews-Smoke_House_Deli-Bengaluru_Karnataka.html,Smoke House Deli,4979425
77.594154,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d3427289-Reviews-Rajdhani-Bengaluru_Karnataka.html,Rajdhani,3427289
77.69537,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d1072284-Reviews-Jalsa-Bengaluru_Karnataka.html,Jalsa,1072284
77.555084,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d6669868-Reviews-District_6_Pub_Brewery_and_Kitchen-Bengaluru_Karnataka.html,District 6 Pub Brewery and Kitchen,6669868
77.57634,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d1819618-Reviews-Dum_Pukht_Jolly_Nabobs-Bengaluru_Karnataka.html,Dum Pukht Jolly Nabobs,1819618
77.59786,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d7134869-Reviews-The_Fisherman_s_Wharf_Bangalore_City-Bengaluru_Karnataka.html,The Fisherman's Wharf - Bangalore City,7134869
77.717735,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d4570172-Reviews-Kesar_Sweets-Bengaluru_Karnataka.html,Kesar Sweets,4570172
77.55463,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d5238107-Reviews-My_Place-Bengaluru_Karnataka.html,My Place,5238107
77.61513,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d1758242-Reviews-Sultans_of_Spice-Bengaluru_Karnataka.html,Sultans of Spice,1758242
77.59683,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d5898790-Reviews-Barbeque_Nation-Bengaluru_Karnataka.html,Barbeque Nation,5898790
77.61483,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d3470444-Reviews-Portland_Steakhouse_Cafe-Bengaluru_Karnataka.html,Portland Steakhouse & Cafe,3470444
77.60143,3.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d787282-Reviews-Koshy_s_Bar_Restaurant-Bengaluru_Karnataka.html,Koshy's Bar & Restaurant,787282
77.58722,5.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d9881107-Reviews-Yataii-Bengaluru_Karnataka.html,Yataii,9881107
77.6632,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d1066254-Reviews-Zen-Bengaluru_Karnataka.html,Zen,1066254
77.64016,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d7390201-Reviews-Chianti_Ristorante_WineBar_IndraNagar_Bangalore_560038-Bengaluru_Karnataka.html,"Chianti Ristorante & WineBar, IndraNagar, Bangalore -560038",7390201
77.555336,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d3960886-Reviews-Toscano-Bengaluru_Karnataka.html,Toscano,3960886
77.60886,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d10225041-Reviews-Toast_and_Tonic-Bengaluru_Karnataka.html,Toast and Tonic,10225041
77.64166,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d7314358-Reviews-The_Black_Rabbit-Bengaluru_Karnataka.html,The Black Rabbit,7314358
77.643524,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d7804151-Reviews-Onesta-Bengaluru_Karnataka.html,Onesta,7804151
77.594955,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d5566241-Reviews-ALBA-Bengaluru_Karnataka.html,ALBA,5566241
77.63056,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d4738792-Reviews-Prost-Bengaluru_Karnataka.html,Prost,4738792
77.5886,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d7393082-Reviews-Naidu_Military_Hotel_Restaurant-Bengaluru_Karnataka.html,Naidu Military Hotel Restaurant,7393082
77.62148,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d1758058-Reviews-China_Pearl-Bengaluru_Karnataka.html,China Pearl,1758058
77.58301,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d3746329-Reviews-Baluchi-Bengaluru_Karnataka.html,Baluchi,3746329
77.64693,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d6582169-Reviews-Big_Pitcher-Bengaluru_Karnataka.html,Big Pitcher,6582169
77.612755,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d2467411-Reviews-Punjab_Grill-Bengaluru_Karnataka.html,Punjab Grill,2467411
77.60196,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d6853097-Reviews-The_Lantern-Bengaluru_Karnataka.html,The Lantern,6853097
77.6161,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d3935281-Reviews-The_Black_Pearl-Bengaluru_Karnataka.html,The Black Pearl,3935281
77.58821,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d10252338-Reviews-Ssaffron-Bengaluru_Karnataka.html,Ssaffron,10252338
77.62709,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d4022551-Reviews-The_Hole_in_The_Wall_Cafe-Bengaluru_Karnataka.html,"The Hole in The Wall Cafe,",4022551
,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d6603023-Reviews-High_Ultra_Lounge-Bengaluru_Karnataka.html,,
,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d7010229-Reviews-Tim_Tai-Bengaluru_Karnataka.html,,
77.596054,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d2510438-Reviews-Cafe_Noir-Bengaluru_Karnataka.html,Cafe Noir,2510438
77.55531,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d2234003-Reviews-Feast-Bengaluru_Karnataka.html,Feast,2234003
77.71872,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d1389535-Reviews-Maiya_s-Bengaluru_Karnataka.html,Maiya's,1389535
77.62044,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d5002847-Reviews-Yauatcha-Bengaluru_Karnataka.html,Yauatcha,5002847
77.7475,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d1673035-Reviews-Toscano-Bengaluru_Karnataka.html,Toscano,1673035
77.596405,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d1787778-Reviews-Shiro-Bengaluru_Karnataka.html,Shiro,1787778
77.60472,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d782170-Reviews-Samarkand-Bengaluru_Karnataka.html,Samarkand,782170
77.64937,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d1161756-Reviews-Jamavar-Bengaluru_Karnataka.html,Jamavar,1161756
77.64937,5.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d6401157-Reviews-Library_Bar-Bengaluru_Karnataka.html,Library Bar,6401157
77.60355,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d806908-Reviews-The_Only_Place-Bengaluru_Karnataka.html,The Only Place,806908
77.63989,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d1984602-Reviews-Phobidden_Fruit-Bengaluru_Karnataka.html,Phobidden Fruit,1984602
77.57161,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d5906636-Reviews-New_Krishna_Bhavan-Bengaluru_Karnataka.html,New Krishna Bhavan,5906636
,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d6885333-Reviews-Nook-Bengaluru_Karnataka.html,,
77.586655,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d3482482-Reviews-La_Brasserie-Bengaluru_Karnataka.html,La Brasserie,3482482
77.59477,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d2374783-Reviews-The_Biere_Club-Bengaluru_Karnataka.html,The Biere Club,2374783
77.65952,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d4035851-Reviews-Republic_of_Noodles_Lemon_Tree-Bengaluru_Karnataka.html,"Republic of Noodles, Lemon Tree",4035851
77.58415,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d3681422-Reviews-24x7_in_Lalit_Ashok-Bengaluru_Karnataka.html,24x7 in Lalit Ashok,3681422
77.64059,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d4304516-Reviews-Mavalli_Tiffin_Room_MTR-Bengaluru_Karnataka.html,Mavalli Tiffin Room (MTR),4304516
77.614235,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d1174719-Reviews-Hyderabadi_Biryani-Bengaluru_Karnataka.html,Hyderabadi Biryani,1174719
77.602036,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d6363028-Reviews-Riwaz-Bengaluru_Karnataka.html,Riwaz,6363028
77.65948,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d1947965-Reviews-Citrus_Cafe-Bengaluru_Karnataka.html,Citrus Cafe,1947965
77.58171,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d4010983-Reviews-Sattvam-Bengaluru_Karnataka.html,Sattvam,4010983
77.59448,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d1867934-Reviews-Fava_The_Mediterranean_Restaurant-Bengaluru_Karnataka.html,Fava - The Mediterranean Restaurant,1867934
77.60806,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d814890-Reviews-Olive_Beach-Bengaluru_Karnataka.html,Olive Beach,814890
77.60393,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d1111439-Reviews-Bheema_s-Bengaluru_Karnataka.html,Bheema's,1111439
77.64578,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d7010115-Reviews-Ministry_of_Food-Bengaluru_Karnataka.html,Ministry of Food,7010115
77.614426,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d8399054-Reviews-My_Cafe-Bengaluru_Karnataka.html,My Cafe,8399054
77.598595,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d810673-Reviews-Sunny_s_Restaurant-Bengaluru_Karnataka.html,Sunny's Restaurant,810673
77.73772,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d1718561-Reviews-Terracotta-Bengaluru_Karnataka.html,Terracotta,1718561
77.59412,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d816734-Reviews-Millers_46-Bengaluru_Karnataka.html,Millers 46,816734
77.68351,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d2355487-Reviews-The_Square_Food_Outside_the_Box-Bengaluru_Karnataka.html,The Square - Food Outside the Box,2355487
77.54898,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d3568319-Reviews-The_Higher_Taste-Bengaluru_Karnataka.html,The Higher Taste,3568319
77.59429,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d3795154-Reviews-Rasovara_The_Royal_Kitchen-Bengaluru_Karnataka.html,Rasovara - The Royal Kitchen,3795154
77.59579,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d3683229-Reviews-Banjara_Melting_Pot-Bengaluru_Karnataka.html,Banjara Melting Pot,3683229
77.609726,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d1191145-Reviews-Tandoor-Bengaluru_Karnataka.html,Tandoor,1191145
